CLV,CAC,CLV/CAC Ratio
31188.50501652236,21902.047874851294,1.42399949058344
31153.947575932794,24938.81800220288,1.249215082013146
29891.62334882364,19824.57852858689,1.5078062469635936
29386.087184627853,20614.375974266997,1.425514273209658
28761.418930823078,19884.266459885577,1.4464410336104792
31109.024929029092,24327.002158654712,1.2787858004921322
31957.258604246475,21494.56752337783,1.4867597856755785
28210.496979476327,19309.493391513683,1.4609651536417076
25240.972547497382,20198.272537369325,1.2496599647716622
29529.608550754358,19793.528948561696,1.49188194927212
27279.670044741575,17295.978394963786,1.577226186446025
25909.73962176658,20740.34804798738,1.2492432413293486
25740.31208023215,20660.247269838506,1.2458859637081852
27101.794145304408,19596.697207238347,1.3829776445846158
31459.324874370577,22781.155839771804,1.3809362920668078
27769.21366505898,20254.822723453257,1.370992678840123
28437.59764452594,18853.94100058396,1.5083105247674822
29492.76480890503,20803.32295569657,1.4176948976715775
29501.47467771447,20881.614876860916,1.4127966084847818
25492.777505854552,15859.543581898699,1.607409278470709
28709.56417524956,22515.636324450854,1.2750945059488463
27055.209216572817,23875.290942821885,1.133188671139816
35557.181529746376,21712.309281262416,1.637650839859397
27765.811764961058,19527.534503526356,1.4218800514702459
28497.476960077543,19890.215336358688,1.4327384836294383
28051.194375318893,19725.63839407321,1.422067758463381
28072.629894778085,21191.842397526787,1.324690386431636
27067.641069377725,22044.257520139647,1.227877194078717
30055.069287373964,22461.266208373167,1.3380843719384778
32868.816188246135,24166.02953431854,1.3601248041830223
32986.071019328,25664.971228974882,1.2852564970767568
33884.36629360631,22494.684535646054,1.506327694434286
27164.153568441307,19279.275845710028,1.4089820481761404
27598.293658277144,20957.50253802459,1.3168693935836928
30467.429153115252,24188.967357649282,1.2595589014873978
31128.37368892886,19985.935531431558,1.5575139647565543
34881.04499824336,20861.06991418054,1.6720640476130413
23822.34493910055,17321.767573806115,1.3752837196086485
26891.175306729336,19393.689389319654,1.3865941011481107
32506.993334757226,22289.541667963444,1.4583966695680977
27976.66987804272,19176.542886562464,1.4589005976487426
24372.42631878482,14378.40337461396,1.6950718159580904
30112.299822768084,20400.885184367173,1.4760290816127228
27857.790651059135,23214.54422509895,1.2000145417862664
33889.165846254786,23480.886819446565,1.4432660106426738
31696.586321714945,21274.385063153968,1.4898943601717372
29871.19796391743,18910.816368360258,1.579582678085491
27566.13153946767,22573.20089624356,1.2211884201170153
29182.939988340968,17847.140121300967,1.6351605797900621
32467.701278016648,21901.330830046903,1.4824533508928834
