CLV,CAC,CLV/CAC Ratio,CAC Payback Months
31723.14684707682,21902.047874851294,1.4484100769180794,20.460255650587715
32197.73258607219,24938.81800220288,1.2910689104522965,21.754929535383976
30463.540995218016,19824.57852858689,1.536655165268196,19.591535637007077
29834.195946241412,20614.375974266997,1.447251955794517,22.124274051284203
29455.43925018065,19884.266459885577,1.4813440218981129,20.27012373180384
31737.343814467033,24327.002158654712,1.304613844627624,23.100692108386056
32356.35881346285,21494.56752337783,1.5053272776142885,21.69171809949937
28864.756955950226,19309.493391513683,1.494847967820636,19.59947351067777
25811.550079199907,20198.272537369325,1.2779087930141213,22.15691570644236
30098.61873199963,19793.528948561696,1.5206292324232946,20.860339068913387
27847.28405514265,17295.978394963786,1.6100438737395264,17.57158786182505
26709.725494795723,20740.34804798738,1.2878147190682079,22.80228073581528
26557.946059227743,20660.247269838506,1.2854611908735076,22.919471911510378
27802.098573803523,19596.697207238347,1.418713484205613,19.92957389107413
32025.050821275327,22781.155839771804,1.4057693580834623,22.764457720286554
28411.985408462446,20254.822723453257,1.402726935524542,19.887305468887906
29179.97135457295,18853.94100058396,1.5476855132658558,19.730541118834186
30186.380573573784,20803.32295569657,1.451036482866688,20.446227610916488
30095.959271109812,20881.614876860916,1.4412658910044063,21.48662307602706
25927.366318200384,15859.543581898699,1.634811631514579,18.92836022007849
29573.860079792896,22515.636324450854,1.3134809806675178,21.461288784054155
27980.250874840924,23875.290942821885,1.171933399339504,23.557427829269237
36033.07796407511,21712.309281262416,1.659569118019677,18.339280309132644
28774.999757745394,19527.534503526356,1.473560308012724,20.51883189954054
29161.15111675148,19890.215336358688,1.46610534997305,19.43716733258133
28769.989459217784,19725.63839407321,1.4585073945116045,19.954774431488147
28528.59880033031,21191.842397526787,1.3462066329664553,22.731112609262006
28100.972863086747,22044.257520139647,1.2747525217129079,21.194279634795613
30865.151223562545,22461.266208373167,1.37415010076576,21.464827466603538
33956.3998302443,24166.02953431854,1.4051294517381232,20.361797356407017
33764.88113836367,25664.971228974882,1.3156017529544028,21.228197026041506
34360.401426141005,22494.684535646054,1.527489810834734,20.38191963311715
